Wines,Points
2003 Chateau Palmer,91
2003 Chateau Ducru-Beaucaillou,92
2003 Chateau Leoville Poyferre,93
2003 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93
2003 Chateau La Mission Haut-Brion,93
2003 Chateau Angelus,93
2003 Chateau Leoville Barton,94
2003 Chateau Figeac,91
2003 Chateau Pavie,93
2003 Chateau Talbot,89
2003 Chateau Smith Haut Lafitte,91
2003 Chateau Calon-Segur,92
2003 Chateau Lafleur,93
2003 Chateau Lascombes,90
2003 Chateau Pape Clement,93
2003 Chateau Ausone,96
2003 Vieux Chateau Certan,90
2003 Chateau Canon,90
2003 Chateau Gruaud-Larose,90
2003 Chateau Branaire-Ducru,92
2003 Chateau Rauzan-Segla,91
2003 Chateau Giscours,90
2003 Chateau Beychevelle,89
2003 Chateau Grand-Puy-Lacoste,90
2003 Chateau Lafite Rothschild 'Carruades de Lafite',90
2003 Chateau Duhart-Milon,91
2003 Chateau Troplong Mondot,90
2003 Chateau La Fleur-Petrus,89
2003 Domaine de Chevalier,90
2003 Chateau La Conseillante,90
2003 Chateau Lagrange,89
2003 Baron Philippe de Rothschild Chateau d'Armailhac,90
2003 Chateau Latour 'Les Forts de Latour',91
2003 Chateau Brane-Cantenac,90
2003 Chateau Cantemerle,87
2003 Chateau Clinet,89
2004 Chateau Mouton Rothschild,93
2004 Chateau Lafite Rothschild,95
2004 Petrus,94
2004 Chateau Margaux,94
2004 Chateau Latour,95
2004 Chateau Haut-Brion,94
2004 Chateau d'Yquem,93
2004 Chateau Pontet-Canet,91
2004 Chateau Lynch-Bages,91
2004 Chateau Cheval Blanc,93
2004 Chateau Pichon Longueville Comtesse de Lalande,92
2004 Chateau Cos d'Estournel,93
2004 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93
2004 Chateau Montrose,92
2004 Chateau Palmer,92
2004 Chateau Ducru-Beaucaillou,92
2004 Chateau Leoville Poyferre,92
2004 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92
2004 Chateau La Mission Haut-Brion,92
2004 Chateau Angelus,93
2004 Chateau Leoville Barton,92
2004 Chateau Figeac,91
2004 Chateau Pavie,92
2004 Chateau Talbot,89
2004 Chateau Smith Haut Lafitte,91
2004 Chateau Calon-Segur,88
2004 Chateau Lafleur,93
2004 Chateau Lascombes,90
2004 Chateau Pape Clement,92
2004 Chateau Ausone,94
2004 Vieux Chateau Certan,92
2004 Chateau Canon,90
2004 Chateau Gruaud-Larose,90
2004 Chateau Branaire-Ducru,89
2004 Chateau Rauzan-Segla,90
2004 Chateau Giscours,90
2004 Chateau Beychevelle,89
2004 Chateau Grand-Puy-Lacoste,91
2004 Chateau Lafite Rothschild 'Carruades de Lafite',88
2004 Chateau Duhart-Milon,90
2004 Chateau Troplong Mondot,91
2004 Le Pin,94
2004 Chateau La Fleur-Petrus,90
2004 Domaine de Chevalier,91
2004 Chateau La Conseillante,91
2004 Chateau Lagrange,90
2004 Baron Philippe de Rothschild Chateau d'Armailhac,89
2004 Chateau Latour 'Les Forts de Latour',91
2004 Chateau Brane-Cantenac,90
2004 Chateau Cantemerle,87
2005 Chateau Mouton Rothschild,96
2005 Chateau Lafite Rothschild,96
2005 Petrus,97
2005 Chateau Margaux,97
2005 Chateau Latour,97
2005 Chateau Haut-Brion,97
2005 Chateau d'Yquem,96
2005 Chateau Pontet-Canet,94
2005 Chateau Lynch-Bages,93
2005 Chateau Cheval Blanc,96
2005 Chateau Pichon Longueville Comtesse de Lalande,93
2005 Chateau Cos d'Estournel,95
2005 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96
2005 Chateau Montrose,94
2005 Chateau Palmer,95
2005 Chateau Ducru-Beaucaillou,94
2005 Chateau Leoville Poyferre,93
2005 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94
2005 Chateau La Mission Haut-Brion,96
2005 Chateau Angelus,95
2005 Chateau Leoville Barton,94
2005 Chateau Figeac,93
2005 Chateau Pavie,95
2005 Chateau Talbot,91
2005 Chateau Smith Haut Lafitte,94
2005 Chateau Calon-Segur,93
2005 Chateau Lafleur,97
2005 Chateau Lascombes,91
2005 Chateau Pape Clement,94
2005 Chateau Ausone,98
2005 Vieux Chateau Certan,95
2005 Chateau Canon,92
2005 Chateau Gruaud-Larose,91
2005 Chateau Branaire-Ducru,92
2005 Chateau Rauzan-Segla,94
2005 Chateau Giscours,92
2005 Chateau Beychevelle,91
2005 Chateau Grand-Puy-Lacoste,93
2005 Chateau Lafite Rothschild 'Carruades de Lafite',90
2005 Chateau Duhart-Milon,91
2005 Chateau Troplong Mondot,95
2005 Le Pin,94
2005 Chateau La Fleur-Petrus,93
2005 Domaine de Chevalier,92
2005 Chateau La Conseillante,95
2005 Chateau Lagrange,91
2005 Baron Philippe de Rothschild Chateau d'Armailhac,90
2005 Chateau Latour 'Les Forts de Latour',92
2005 Chateau Brane-Cantenac,92
2005 Chateau Cantemerle,89
2006 Chateau Mouton Rothschild,94
2006 Chateau Lafite Rothschild,94
2006 Petrus,94
2006 Chateau Margaux,94
2006 Chateau Latour,94
2006 Chateau Haut-Brion,95
2006 Chateau d'Yquem,96
2006 Chateau Pontet-Canet,93
2006 Chateau Lynch-Bages,91
2006 Chateau Cheval Blanc,94
2006 Chateau Pichon Longueville Comtesse de Lalande,92
2006 Chateau Cos d'Estournel,93
2006 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93
2006 Chateau Montrose,91
2006 Chateau Palmer,93
2006 Chateau Ducru-Beaucaillou,93
2006 Chateau Leoville Poyferre,91
2006 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92
2006 Chateau La Mission Haut-Brion,93
2006 Chateau Angelus,93
2006 Chateau Leoville Barton,91
2006 Chateau Figeac,91
2006 Chateau Pavie,93
2006 Chateau Talbot,89
2006 Chateau Smith Haut Lafitte,91
2006 Chateau Calon-Segur,91
2006 Chateau Lafleur,93
2006 Chateau Lascombes,89
2006 Chateau Pape Clement,92
2006 Chateau Ausone,95
2006 Vieux Chateau Certan,94
2006 Chateau Canon,91
2006 Chateau Gruaud-Larose,90
2006 Chateau Branaire-Ducru,91
2006 Chateau Rauzan-Segla,92
2006 Chateau Giscours,90
2006 Chateau Beychevelle,90
2006 Chateau Grand-Puy-Lacoste,91
2006 Chateau Lafite Rothschild 'Carruades de Lafite',89
2006 Chateau Duhart-Milon,89
2006 Chateau Troplong Mondot,92
2006 Le Pin,94
2006 Chateau La Fleur-Petrus,92
2006 Domaine de Chevalier,91
2006 Chateau La Conseillante,93
2006 Chateau Lagrange,90
2006 Baron Philippe de Rothschild Chateau d'Armailhac,89
2006 Chateau Latour 'Les Forts de Latour',90
2006 Chateau Brane-Cantenac,90
2006 Chateau Cantemerle,89
2007 Chateau Mouton Rothschild,93
2007 Chateau Lafite Rothschild,93
2007 Petrus,93
2007 Chateau Margaux,93
2007 Chateau Latour,92
2007 Chateau Haut-Brion,94
2007 Chateau d'Yquem,97
2007 Chateau Pontet-Canet,91
2007 Chateau Lynch-Bages,90
2007 Chateau Cheval Blanc,92
2007 Chateau Pichon Longueville Comtesse de Lalande,90
2007 Chateau Cos d'Estournel,91
2007 Chateau Leoville-Las Cases 'Grand Vin de Leoville',93
2007 Chateau Montrose,91
2007 Chateau Palmer,91
2007 Chateau Ducru-Beaucaillou,91
2007 Chateau Leoville Poyferre,90
2007 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92
2007 Chateau La Mission Haut-Brion,92
2007 Chateau Angelus,92
2007 Chateau Leoville Barton,92
2007 Chateau Figeac,90
2007 Chateau Pavie,92
2007 Chateau Talbot,88
2007 Chateau Smith Haut Lafitte,90
2007 Chateau Calon-Segur,89
2007 Chateau Lafleur,93
2007 Chateau Lascombes,88
2007 Chateau Pape Clement,91
2007 Chateau Ausone,93
2007 Vieux Chateau Certan,91
2007 Chateau Canon,89
2007 Chateau Gruaud-Larose,89
2007 Chateau Branaire-Ducru,89
2007 Chateau Rauzan-Segla,90
2007 Chateau Giscours,89
2007 Chateau Beychevelle,89
2007 Chateau Grand-Puy-Lacoste,90
2007 Chateau Lafite Rothschild 'Carruades de Lafite',88
2007 Chateau Duhart-Milon,89
2007 Chateau Troplong Mondot,91
2007 Le Pin,91
2007 Chateau La Fleur-Petrus,90
2007 Domaine de Chevalier,90
2007 Chateau La Conseillante,90
2007 Chateau Lagrange,90
2007 Baron Philippe de Rothschild Chateau d'Armailhac,88
2007 Chateau Latour 'Les Forts de Latour',90
2007 Chateau Brane-Cantenac,88
2007 Chateau Cantemerle,87
2008 Chateau Mouton Rothschild,95
2008 Chateau Lafite Rothschild,94
2008 Petrus,95
2008 Chateau Margaux,94
2008 Chateau Latour,95
2008 Chateau Haut-Brion,94
2008 Chateau d'Yquem,95
2008 Chateau Pontet-Canet,92
2008 Chateau Lynch-Bages,91
2008 Chateau Cheval Blanc,94
2008 Chateau Pichon Longueville Comtesse de Lalande,91
2008 Chateau Cos d'Estournel,93
2008 Chateau Leoville-Las Cases 'Grand Vin de Leoville',94
2008 Chateau Montrose,92
2008 Chateau Palmer,93
2008 Chateau Ducru-Beaucaillou,93
2008 Chateau Leoville Poyferre,92
2008 Chateau Pichon-Longueville au Baron de Pichon-Longueville,93
2008 Chateau La Mission Haut-Brion,93
2008 Chateau Angelus,93
2008 Chateau Leoville Barton,92
2008 Chateau Figeac,91
2008 Chateau Pavie,93
2008 Chateau Talbot,89
2008 Chateau Smith Haut Lafitte,91
2008 Chateau Calon-Segur,91
2008 Chateau Lafleur,94
2008 Chateau Lascombes,90
2008 Chateau Pape Clement,92
2008 Chateau Ausone,95
2008 Vieux Chateau Certan,93
2008 Chateau Canon,91
2008 Chateau Gruaud-Larose,90
2008 Chateau Branaire-Ducru,90
2008 Chateau Rauzan-Segla,91
2008 Chateau Giscours,90
2008 Chateau Beychevelle,90
2008 Chateau Grand-Puy-Lacoste,90
2008 Chateau Lafite Rothschild 'Carruades de Lafite',90
2008 Chateau Duhart-Milon,91
2008 Chateau Troplong Mondot,92
2008 Le Pin,94
2008 Chateau La Fleur-Petrus,92
2008 Domaine de Chevalier,92
2008 Chateau La Conseillante,92
2008 Chateau Lagrange,90
2008 Baron Philippe de Rothschild Chateau d'Armailhac,89
2008 Chateau Latour 'Les Forts de Latour',91
2008 Chateau Brane-Cantenac,90
2008 Chateau Cantemerle,88
2009 Chateau Mouton Rothschild,97
2009 Chateau Lafite Rothschild,96
2009 Petrus,97
2009 Chateau Margaux,98
2009 Chateau Latour,97
2009 Chateau Haut-Brion,97
2009 Chateau d'Yquem,97
2009 Chateau Pontet-Canet,96
2009 Chateau Lynch-Bages,94
2009 Chateau Cheval Blanc,97
2009 Chateau Pichon Longueville Comtesse de Lalande,94
2009 Chateau Cos d'Estournel,95
2009 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96
2009 Chateau Montrose,96
2009 Chateau Palmer,96
2009 Chateau Ducru-Beaucaillou,96
2009 Chateau Leoville Poyferre,95
2009 Chateau Pichon-Longueville au Baron de Pichon-Longueville,95
2009 Chateau La Mission Haut-Brion,96
2009 Chateau Angelus,95
2009 Chateau Leoville Barton,94
2009 Chateau Figeac,95
2009 Chateau Pavie,94
2009 Chateau Talbot,92
2009 Chateau Smith Haut Lafitte,94
2009 Chateau Calon-Segur,94
2009 Chateau Lafleur,97
2009 Chateau Lascombes,92
2009 Chateau Pape Clement,94
2009 Chateau Ausone,97
2009 Vieux Chateau Certan,96
2009 Chateau Canon,93
2009 Chateau Gruaud-Larose,93
2009 Chateau Branaire-Ducru,93
2009 Chateau Rauzan-Segla,93
2009 Chateau Giscours,92
2009 Chateau Beychevelle,92
2009 Chateau Grand-Puy-Lacoste,94
2009 Chateau Lafite Rothschild 'Carruades de Lafite',91
2009 Chateau Duhart-Milon,92
2009 Chateau Troplong Mondot,94
2009 Le Pin,96
2009 Chateau La Fleur-Petrus,94
2009 Domaine de Chevalier,94
2009 Chateau La Conseillante,95
2009 Chateau Lagrange,92
2009 Baron Philippe de Rothschild Chateau d'Armailhac,92
2009 Chateau Latour 'Les Forts de Latour',93
2009 Chateau Brane-Cantenac,92
2009 Chateau Cantemerle,90
2010 Chateau d'Yquem,96
2010 Chateau Pontet-Canet,96
2010 Chateau Pichon Longueville Comtesse de Lalande,94
2010 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96
2010 Chateau Leoville Poyferre,95
2010 Chateau Angelus,95
2010 Chateau Talbot,91
2010 Chateau Gruaud-Larose,92
2010 Chateau La Fleur-Petrus,94
2010 Domaine de Chevalier,94
2010 Chateau La Conseillante,95
2010 Baron Philippe de Rothschild Chateau d'Armailhac,92
2010 Chateau Latour 'Les Forts de Latour',93
2010 Chateau Brane-Cantenac,93
2010 Chateau Cantemerle,91
2010 Chateau Trotanoy,95
2010 Chateau Batailley Grand Cru,92
2010 Chateau Canon la Gaffeliere,93
2010 Chateau Chasse-Spleen,89
2010 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,91
2010 Chateau Langoa-Barton,93
2010 Chateau Kirwan,91
2010 Chateau Valandraud,94
2010 Chateau Haut-Bages Liberal,91
2010 Chateau Potensac,89
2010 Chateau d'Angludet,90
2010 Chateau Cheval Blanc 'Le Petit Cheval',92
2010 Chateau de Fieuzal,91
2010 Chateau de Camensac,88
2010 Chateau Leoville-Las Cases 'Le Petit Lion du Marquis de Las Cases',89
2010 Chateau Lafaurie-Peyraguey,92
2010 Chateau Boyd-Cantenac,91
2010 Chateau Citran,88
2010 Chateau Fonplegade,91
2010 Chateau Pouget,90
2010 Chateau Coufran,87
2010 BriO de Cantenac Brown,89
2010 Chateau Verdignan,87
2010 Chateau Suduiraut Castelnau de Suduiraut,90
2010 Chateau Beausejour,91
2010 Moulins de Citran,88
2010 Chateau Peyrabon Chateau Pierbone,88
2010 Chateau Lafitte-Tramier,88
2010 Chateau Malagar,89
2010 Chateau Boyd-Cantenac 'Josephine de Boyd',0
2010 Chateau Messile Cassat,0
Chateau Mouton Rothschild,96
Chateau Lafite Rothschild,95
Petrus,96
Chateau Margaux,96
Chateau Latour,96
Chateau Haut-Brion,96
Chateau d'Yquem,96
Chateau Pontet-Canet,95
Chateau Lynch-Bages,93
Chateau Cheval Blanc,95
Chateau Pichon Longueville Comtesse de Lalande,94
2011 Chateau Margaux,94
2011 Chateau Latour,94
2011 Chateau Haut-Brion,94
2011 Chateau Pontet-Canet,93
2011 Chateau Montrose,92
2011 Chateau Palmer,93
2011 Chateau Leoville Barton,92
2011 Chateau Smith Haut Lafitte,92
2011 Chateau Lascombes,90
2011 Chateau Pape Clement,91
2011 Chateau Grand-Puy-Lacoste,91
2011 Domaine de Chevalier,92
2011 Chateau Brane-Cantenac,91
2011 Chateau Haut-Bailly,91
2011 Chateau Phelan Segur,90
2011 Chateau Cantenac Brown,90
2011 Chateau Valandraud,92
2011 Chateau Montrose La Dame de Montrose,89
2011 Chateau Haut-Bages Liberal,89
2011 Chateau Poujeaux,88
2011 La Chapelle de La Mission Haut-Brion,89
2011 Chateau Lanessan,85
2011 Duluc de Branaire-Ducru,86
2011 Chateau d'Aiguilhe,88
2011 Chateau Simard,87
2011 Chateau de Pressac,89
2011 Chateau le Puy Cuvee Barthelemy,92
2011 Chateau Rollan de By,88
2011 Chateau d'Agassac,87
2011 Chateau Suduiraut Lions de Suduiraut,90
2011 Chateau La Tour Du Haut Moulin,84
2011 Chateau Barreyre,90
2011 Chateau Bertrand Braneyre Vieilles Vignes,0
2011 Chateau Cantinot,87
2011 Chateau Cantinot Les Tours de Cantinot,88
2012 Chateau Haut-Brion,95
2012 Chateau Calon-Segur,92
2012 Chateau Branaire-Ducru,90
2012 Chateau Giscours,90
2012 Chateau Grand-Puy-Lacoste,91
2012 Chateau Latour 'Les Forts de Latour',91
2012 Chateau Cantemerle,88
2012 Chateau Trotanoy,93
2012 Chateau Phelan Segur,90
2012 Chateau Haut-Batailley,90
2012 Domaine de Chevalier Blanc,93
2012 Chateau Ducru-Beaucaillou 'La Croix de Beaucaillou',90
2012 Chateau Potensac,89
2012 Chateau Les Ormes-de-Pez,89
2012 Le Carillon de l'Angelus,89
2012 Chateau Lafleur 'Les Pensees de Lafleur',89
2012 Chateau La Tour de By,86
2012 Chateau Malartic Lagraviere Blanc,91
2012 Chateau de Lamarque,87
2012 Chateau Fourcas-Hosten,86
2012 Chateau Cote de Baleau,87
2012 Chateau Canon 'Croix Canon - Clos Canon',89
2012 L'Heritage de Chasse-Spleen,86
2012 Moulins de Citran,0
2012 Chateau Luchey-Halde,87
2012 Chateau Hourbanon,86
2012 Chateau Cantinot 'Orbite',90
2013 Chateau Latour,93
2013 Domaine de Chevalier Blanc,93
2013 Chateau La Gravette de Certan,87
2013 Chateau Malartic Lagraviere Blanc,91
2013 Les Cinq Pattes Rouge,0
2013 Les Cinq Pattes Blanc,0
2014 Chateau Margaux,95
2014 Chateau Latour,96
2014 Chateau Montrose,95
2014 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94
2014 Chateau La Mission Haut-Brion,94
2014 Chateau Figeac,94
2014 Chateau Pape Clement,93
2014 Chateau Canon,92
2014 Chateau Branaire-Ducru,91
2014 Chateau Giscours,92
2014 Domaine de Chevalier,93
2014 Chateau La Conseillante,93
2014 Baron Philippe de Rothschild Chateau d'Armailhac,91
2014 Chateau Latour 'Les Forts de Latour',92
2014 Chateau Cantemerle,89
2014 Chateau Clinet,91
2014 Chateau Haut-Bailly,94
2014 Chateau Clerc-Milon,92
2014 Chateau d'Issan,92
2014 Chateau Gloria,91
2014 Chateau Phelan Segur,91
2014 Chateau Les Carmes Haut-Brion,92
2014 Chateau Chasse-Spleen,88
2014 Chateau Cantenac Brown,91
2014 Chateau Leoville-Las Cases 'Clos du Marquis',91
2014 Chateau Latour Le Pauillac de Latour,89
2014 Clos Fourtet,93
2014 Chateau Haut-Batailley,91
2014 Chateau Montrose La Dame de Montrose,89
2014 Chateau Grand-Puy Ducasse,91
2014 Chateau Potensac,89
2014 Chateau Latour-Martillac,90
2014 Chateau d'Angludet,89
2014 Chateau Siran,89
2014 Chateau Belgrave,89
2014 Chateau Carbonnieux,90
2014 Chateau Carbonnieux Blanc,90
2014 Chateau Barde-Haut,90
2014 Chateau Cantemerle 'Les Allees de Cantemerle',88
2014 Chateau Malescasse,88
2014 Guinaudeau 'G' Acte,90
2014 Chateau Malmaison,84
2014 Chateau Gazin Rocquencourt,89
2014 Annonce de Belair-Monange,89
2014 Chateau Haut-Beychevelle Gloria,0
2014 Chateau Lafaurie-Peyraguey 'La Chapelle de Lafaurie',91
2014 Chateau Fougas Maldoror,89
2014 Chateau Livran,87
2014 Chateau Bellevue Favereau,0
2014 Chartreuse de Coutet,90
2015 Chateau Mouton Rothschild,96
2015 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96
2015 Chateau Montrose,94
2015 Chateau Palmer,96
2015 Chateau Pichon-Longueville au Baron de Pichon-Longueville,95
2015 Chateau La Mission Haut-Brion,96
2015 Chateau Angelus,96
2015 Chateau Leoville Barton,94
2015 Chateau Talbot,91
2015 Chateau Pape Clement,93
2015 Chateau Branaire-Ducru,92
2015 Chateau Giscours,93
2015 Chateau Latour 'Les Forts de Latour',93
2015 Chateau Cantemerle,90
2015 Chateau Haut-Bailly,96
2015 Chateau d'Issan,93
2015 Chateau Sociando-Mallet,90
2015 Chateau Lafon-Rochet,92
2015 Chateau Cantenac Brown,92
2015 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,92
2015 Chateau Langoa-Barton,92
2015 Chateau Latour Le Pauillac de Latour,90
2015 Chateau Belair-Monange,94
2015 Chateau Saint-Pierre,93
2015 Chateau Haut-Batailley,91
2015 Chateau du Tertre,92
2015 Chateau Haut-Bages Liberal,89
2015 Chateau Guiraud,94
2015 Chateau Laroque,90
2015 Chateau Poujeaux,90
2015 Chateau Ducru-Beaucaillou 'La Croix de Beaucaillou',92
2015 Echo de Lynch Bages Chateau Haut-Bages Averous,89
2015 Chateau Latour-Martillac,91
2015 Chateau Smith Haut Lafitte 'Le Petit Smith Haut Lafitte',90
2015 Chateau Marquis d'Alesme Becker,92
2015 Chateau de Camensac,88
2015 Chateau Lilian Ladouys,89
2015 Duluc de Branaire-Ducru,87
2015 Chateau Gruaud-Larose 'Sarget de Gruaud-Larose',88
2015 Chateau Citran,87
2015 Chateau Petit Village,92
2015 Chateau Lagrange,90
2015 Vignobles Andre Lurton Chateau La Louviere,90
2015 Chateau La Tour Figeac,90
2015 Chateau Grand Corbin-Despagne,91
2015 Chateau La Grave a Pomerol Trigant de Boisset,91
2015 Chateau Maucaillou,88
2015 Chateau de la Dauphine,90
2015 Chateau Brown,90
2015 Chateau Croix de Labrie,92
2016 Chateau Mouton Rothschild,98
2016 Chateau Margaux,97
2016 Chateau Haut-Brion,97
2016 Chateau d'Yquem,96
2016 Chateau Lynch-Bages,95
2016 Chateau Cheval Blanc,97
2016 Chateau Pichon Longueville Comtesse de Lalande,97
2016 Chateau Cos d'Estournel,96
2016 Chateau Leoville-Las Cases 'Grand Vin de Leoville',97
2016 Chateau Palmer,97
2016 Chateau Ducru-Beaucaillou,96
2016 Chateau Leoville Poyferre,95
2016 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96
2016 Chateau La Mission Haut-Brion,96
2016 Chateau Angelus,97
2016 Chateau Talbot,93
2016 Chateau Pape Clement,94
2016 Chateau Canon,96
2016 Chateau Gruaud-Larose,93
