Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,91,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Weingut Prager Klaus Riesling Smaragd,90,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Weingut Robert Weil Kiedricher Grafenberg Riesling Auslese,93,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Maximin Grunhauser Abtsberg Riesling Auslese,91,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Maximin Grunhaus Herrenberg Riesling Auslese,93,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Domaine Zind-Humbrecht Riesling Heimbourg,90,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Dr. Loosen Erdener Pralat Riesling Auslese,93,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Gustave Lorentz Riesling Altenberg de Bergheim,89,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Marc Tempe Riesling Mambourg,91,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Weingut Donnhoff Oberhauser Leistenberg Riesling Auslese,95,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
