Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Franz Hirtzberger Singerriedel Riesling Smaragd,94,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Georg Breuer Rudesheimer Berg Schlossberg Riesling,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Markus Molitor Zeltinger Sonnenuhr Riesling Auslese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Robert Weil Kiedricher Grafenberg Riesling Grosses Gewachs,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Georg Breuer Rauenthal Nonnenberg Riesling Trocken,90,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Dr. Burklin-Wolf Forster Pechstein G.C. Riesling Trocken,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,96,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Egon Muller Scharzhofberger Riesling Auslese Goldkapsel,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,94,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Emmerich Knoll Ried Schutt Riesling Smaragd,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Maximin Grunhauser Abtsberg Riesling Spatlese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Dr. Burklin-Wolf Forster Kirchenstuck G.C. Riesling Trocken,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Donnhoff Oberhauser Brucke Riesling Auslese,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Donnhoff Norheimer Kirschheck Riesling Spatlese,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weinlaubenhof Alois Kracher Kollektion Welschriesling Trockenbeerenauslese,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Auslese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Robert Weil Kiedricher Grafenberg Riesling Trockenbeerenauslese,96,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Robert Weil Kiedricher Grafenberg Riesling Auslese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Karthauserhof Eitelsbacher Karthauserhofberg Riesling Auslese,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Maximin Grunhauser Abtsberg Riesling Auslese,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Fritz Haag Riesling Trocken,89,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Robert Weil Kiedricher Grafenberg Riesling Beerenauslese,94,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Willi Schaefer Graacher Domprobst Riesling Beerenauslese,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Keller Dalsheimer Hubacker Riesling Auslese,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Robert Weil Kiedricher Grafenberg Riesling Spatlese,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Schloss Johannisberg Rosalack Riesling Auslese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Georg Breuer Berg Roseneck Riesling,90,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Maximin Grunhaus Herrenberg Riesling Auslese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Markus Molitor Zeltinger Sonnenuhr Riesling Spatlese,90,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Georg Breuer Berg Rottland Riesling,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Markus Molitor Erdener Treppchen Riesling Auslese,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Schloss Johannisberg Goldlack Riesling Trockenbeerenauslese,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Schloss Lieser-Thomas Haag Lieserer Niederberg Helden Riesling Auslese Goldkapsel,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Markus Molitor Bernkasteler Badstube Riesling Auslese,89,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Forstmeister Geltz-Zilliken Rausch Riesling Auslese Goldkapsel,94,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Schloss Lieser-Thomas Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Lange Goldkapsel,94,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
F E Trimbach Riesling Clos Sainte Hune,94,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Egon Muller Scharzhofberger Riesling Kabinett,90,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Keller G-Max Riesling Trocken,94,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,94,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Egon Muller Scharzhofberger Riesling Spatlese,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Egon Muller Scharzhofberger Riesling Auslese,94,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
F E Trimbach Riesling Cuvee Frederic Emile,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Donnhoff Niederhauser Hermannshohle Riesling Grosses Gewachs,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Georg Breuer Rudesheimer Berg Schlossberg Riesling,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Schafer-Frohlich Bockenauer Felseneck Riesling Grosses Gewachs,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Kabinett,90,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
F.X. Pichler Durnsteiner Kellerberg Riesling Smaragd,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Domaine Weinbach Riesling Schlossberg Cuvee Sainte Catherine,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Grosses Gewachs,94,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Dr. Burklin-Wolf Forster Pechstein G.C. Riesling Trocken,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,95,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Egon Muller Scharzhofberger Riesling Auslese Goldkapsel,96,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
A. Christmann Konigsbacher Idig Riesling Grosses Gewachs,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Donnhoff Oberhauser Leistenberg Riesling Kabinett,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Goldkapsel,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Spatlese,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Emmerich Knoll Ried Schutt Riesling Smaragd,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Dr. Burklin-Wolf Forster Kirchenstuck G.C. Riesling Trocken,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Domaine Zind-Humbrecht Riesling Clos Windsbuhl,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Dr. Loosen Urziger Wurzgarten Riesling Spatlese,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Spatlese,90,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Wittmann Brunnenhauschen Riesling Grosses Gewachs,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Peter Jakob Kuhn Doosberg Riesling Grosses Gewachs,89,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weinlaubenhof Alois Kracher Kollektion Welschriesling Trockenbeerenauslese,94,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Emmerich Knoll Ried Loibenberg Riesling Smaragd,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Okonomierat Rebholz Birkweiler Kastanienbusch Riesling Grosses Gewachs,93,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Hugel & Fils Riesling Schoelhammer,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Wwe Dr. H. Thanisch Bernkasteler Doctor Riesling Spatlese,90,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Willi Schaefer Graacher Domprobst Riesling Spatlese,91,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Maximin Grunhauser Abtsberg Riesling Auslese,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Joh. Jos. Prum Bernkasteler Badstube Riesling Kabinett,89,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Dr. Loosen Wehlener Sonnenuhr Riesling Auslese,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Weingut Robert Weil Kiedricher Grafenberg Riesling Beerenauslese,92,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Gunderloch Nackenheimer Rothenberg Riesling Grosses Gewachs,90,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
Gustave Lorentz Riesling Vieilles Vignes Altenberg de Bergheim,90,2008,6.2,2.9,9.9,64.0,14.4,10.0,18.8,41.6,15.7,11.5,20.4,48.7,16.8,12.5,21.7,85.0,16.2,12.2,20.5,42.2,11.1,7.4,14.8,50.2
F E Trimbach Riesling Clos Sainte Hune,94,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Keller G-Max Riesling Trocken,96,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,95,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
F E Trimbach Riesling Cuvee Frederic Emile,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,91,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Loosen Bros Dr. L Riesling,87,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Grosses Gewachs,94,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Weingut Donnhoff 'Felsenturmchen' Schlossbockelheimer Felsenberg Riesling Grosses Gewachs,92,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,93,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Egon Muller Scharzhofberger Riesling Auslese Goldkapsel,95,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Goldkapsel,94,2009,11.3,6.9,15.9,35.8,13.1,8.4,17.4,71.0,14.3,10.3,18.7,87.1,17.0,13.1,21.2,67.1,18.4,13.5,23.2,21.2,14.1,10.6,18.1,28.4
