Wines,Points,Year
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Auslese Goldkapsel,96,2010 
Schloss Lieser-Thomas Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Lange Goldkapsel,91,2010 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Trockenbeerenauslese,96,2010 
Weingut Max Ferd. Richter Brauneberger Juffer Sonnenuhr Riesling Auslese,90,2010 
Hugel & Fils Riesling Selection de Grains Nobles,95,2010 
Weingut Max Ferd. Richter Mulheimer Helenenkloster Riesling Eiswein,92,2010 
Marc Kreydenweiss Riesling Wiebelsberg 'La Dame',90,2010 
Selbach-Oster 'Anrecht' Zeltinger Himmelreich Riesling Spatlese,91,2010 
F.X. Pichler M Riesling Reserve,93,2010 
Maximin Grunhauser Abtsberg Riesling Beerenauslese,94,2010 
Weingut S.A. Prum Wehlener Sonnenuhr Alte Reben Riesling Grosses Gewachs,92,2010 
Selbach-Oster Zeltinger Sonnenuhr Rotlay Riesling,93,2010 
Domaine Ostertag Riesling Clos Mathis,91,2010 
Hogue Cellars Late Harvest Riesling,86,2010 
Von Othegraven Kanzemer Altenberg Riesling Kabinett,91,2010 
Weingut Immich-Batterieberg Enkircher Batterieberg Riesling Trocken,92,2010 
Schlossgut Diel Dorsheimer Pittermannchen Riesling Auslese,94,2010 
Selbach-Oster Zeltinger Himmelreich Riesling Eiswein,89,2010 
Selbach-Oster 'Schmitt' Zeltinger Schlossberg Riesling,91,2010 
Weingut Clemens Busch Pundericher Marienberg Rothenpfad Riesling Auslese,91,2010 
F.X. Pichler Loibner Oberhauser Riesling Smaragd,91,2010 
Emile Beyer Riesling Pfersigberg,91,2010 
Joh. Jos. Prum Bernkasteler Badstube Riesling Auslese Gold Goldkapsel,93,2010 
Meulenhof Erdener Treppchen Riesling Auslese,90,2010 
Weingut Karthauserhof Eitelsbacher Karthauserhofberg Riesling Beerenauslese,92,2010 
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Fuder 6,92,2010 
Weingut St. Urbans-Hof Nik Weis Piesporter Goldtropfchen Riesling Auslese,92,2010 
F E Trimbach Riesling Clos Sainte Hune,94,2011 
Weingut Keller G-Max Riesling Trocken,95,2011 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,94,2011 
Egon Muller Scharzhofberger Riesling Spatlese,92,2011 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,92,2011 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,92,2011 
Egon Muller Scharzhofberger Riesling Auslese,93,2011 
F E Trimbach Riesling Cuvee Frederic Emile,92,2011 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,92,2011 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,93,2011 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,92,2011 
Georg Breuer Rudesheimer Berg Schlossberg Riesling,92,2011 
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,94,2011 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,92,2011 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,94,2011 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93,2011 
Pewsey Vale Dry Riesling,90,2011 
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,97,2011 
Domaine Weinbach Riesling Schlossberg,92,2011 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,92,2011 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,91,2011 
