Wines,Points,Year
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92 ,2014 
Van Volxem Scharzhofberger 'P' Pergentsknopp' Riesling Grosses Gewachs,92 ,2014 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,89 ,2014 
Schloss Gobelsburg Heiligenstein Riesling Reserve Erste OTW Lage,93 ,2014 
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,94 ,2014 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Kabinett,91 ,2014 
Weingut Keller Nierstein Hipping Riesling Grosses Gewachs,94 ,2014 
Weingut Donnhoff Oberhauser Brucke Riesling Spatlese,92 ,2014 
Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs,93 ,2014 
Weingut Donnhoff Norheimer Kirschheck Riesling Spatlese,91 ,2014 
Weingut Prager Klaus Riesling Smaragd,92 ,2014 
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Spatlese,91 ,2014 
F E Trimbach Riesling Geisberg,93 ,2014 
Hugel & Fils Riesling,89 ,2014 
F E Trimbach Riesling Reserve,90 ,2014 
Forstmeister Geltz-Zilliken Saarburger Rausch Riesling Auslese,93 ,2014 
Charles Smith Wines 'Kung Fu Girl' Riesling,89 ,2014 
Weingut Emmerich Knoll Ried Loibenberg Riesling Smaragd,93 ,2014 
Relax Riesling,87 ,2014 
Moselland Ars Vitis Riesling,82 ,2014 
Weingut Prager Wachstum Bodenstein Riesling Smaragd,91 ,2014 
Ravines Wine Cellars Dry Riesling,89 ,2014 
F.X. Pichler Loibner Loibenberg Riesling Smaragd,93 ,2014 
August Kesseler 'R' Riesling Kabinett,87 ,2014 
Egon Muller Scharzhofberger Riesling Kabinett,93 ,2015 
Weingut Keller G-Max Riesling Trocken,95 ,2015 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,95 ,2015 
Egon Muller Scharzhofberger Riesling Spatlese,94 ,2015 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,94 ,2015 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,93 ,2015 
Egon Muller Scharzhofberger Riesling Auslese,95 ,2015 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,93 ,2015 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,95 ,2015 
Loosen Bros Dr. L Riesling,86 ,2015 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,93 ,2015 
Weingut Wittmann Morstein Riesling Grosses Gewachs,93 ,2015 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Kabinett,92 ,2015 
Markus Molitor Zeltinger Sonnenuhr Riesling Auslese,95 ,2015 
Egon Muller 'Scharzhof' Riesling,91 ,2015 
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,94 ,2015 
Chateau Ste. Michelle Riesling,87 ,2015 
Weingut Robert Weil Kiedricher Grafenberg Riesling Grosses Gewachs,93 ,2015 
F E Trimbach Riesling,89 ,2015 
Joh. Jos. Prum Graacher Himmelreich Riesling Kabinett,91 ,2015 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,92 ,2015 
Inniskillin Riesling Icewine,92 ,2015 
Domaine Weinbach Riesling Schlossberg Cuvee Sainte Catherine,94 ,2015 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,93 ,2015 
Black Tower Riesling,0,2015 
Domaine Zind-Humbrecht Riesling Brand,94 ,2015 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,95 ,2015 
Pewsey Vale Dry Riesling,92 ,2015 
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,96 ,2015 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,94 ,2015 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,93 ,2015 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Spatlese,93 ,2015 
Dr. Loosen Wehlener Sonnenuhr Alte Reben Riesling Grosses Gewachs,93 ,2015 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,93 ,2015 
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,94 ,2015 
Schloss Vollrads Riesling,87 ,2015 
