,Wines,Points
0,2010 Chateau d'Yquem,96 
1,2010 Chateau Pontet-Canet,96 
2,2010 Chateau Pichon Longueville Comtesse de Lalande,94 
3,2010 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 
4,2010 Chateau Leoville Poyferre,95 
5,2010 Chateau Angelus,95 
6,2010 Chateau Talbot,91 
7,2010 Chateau Gruaud-Larose,92 
8,2010 Chateau La Fleur-Petrus,94 
9,2010 Domaine de Chevalier,94 
10,2010 Chateau La Conseillante,95 
11,2010 Baron Philippe de Rothschild Chateau d'Armailhac,92 
12,2010 Chateau Latour 'Les Forts de Latour',93 
13,2010 Chateau Brane-Cantenac,93 
14,2010 Chateau Cantemerle,91 
15,2010 Chateau Trotanoy,95 
16,2010 Chateau Batailley Grand Cru,92 
17,2010 Chateau Canon la Gaffeliere,93 
18,2010 Chateau Chasse-Spleen,89 
19,2010 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,91 
20,2010 Chateau Langoa-Barton,93 
21,2010 Chateau Kirwan,91 
22,2010 Chateau Valandraud,94 
23,2010 Chateau Haut-Bages Liberal,91 
24,2010 Chateau Potensac,89 
25,2010 Chateau d'Angludet,90 
26,2010 Chateau Cheval Blanc 'Le Petit Cheval',92 
27,2010 Chateau de Fieuzal,91 
28,2010 Chateau de Camensac,88 
29,2010 Chateau Leoville-Las Cases 'Le Petit Lion du Marquis de Las Cases',89 
30,2010 Chateau Lafaurie-Peyraguey,92 
31,2010 Chateau Boyd-Cantenac,91 
32,2010 Chateau Citran,88 
33,2010 Chateau Fonplegade,91 
34,2010 Chateau Pouget,90 
35,2010 Chateau Coufran,87 
36,2010 BriO de Cantenac Brown,89 
37,2010 Chateau Verdignan,87 
38,2010 Chateau Suduiraut Castelnau de Suduiraut,90 
39,2010 Chateau Beausejour,91 
40,2010 Moulins de Citran,88 
41,2010 Chateau Peyrabon Chateau Pierbone,88 
42,2010 Chateau Lafitte-Tramier,88 
43,2010 Chateau Malagar,89 
44,2010 Chateau Boyd-Cantenac 'Josephine de Boyd',0
45,2010 Chateau Messile Cassat,0
46,Chateau Mouton Rothschild,96 
47,Chateau Lafite Rothschild,95 
48,Petrus,96 
49,Chateau Margaux,96 
50,Chateau Latour,96 
51,Chateau Haut-Brion,96 
52,Chateau d'Yquem,96 
53,Chateau Pontet-Canet,95 
54,Chateau Lynch-Bages,93 
55,Chateau Cheval Blanc,95 
56,Chateau Pichon Longueville Comtesse de Lalande,94 
57,2011 Chateau Margaux,94 
58,2011 Chateau Latour,94 
59,2011 Chateau Haut-Brion,94 
60,2011 Chateau Pontet-Canet,93 
61,2011 Chateau Montrose,92 
62,2011 Chateau Palmer,93 
63,2011 Chateau Leoville Barton,92 
64,2011 Chateau Smith Haut Lafitte,92 
65,2011 Chateau Lascombes,90 
66,2011 Chateau Pape Clement,91 
67,2011 Chateau Grand-Puy-Lacoste,91 
68,2011 Domaine de Chevalier,92 
69,2011 Chateau Brane-Cantenac,91 
70,2011 Chateau Haut-Bailly,91 
71,2011 Chateau Phelan Segur,90 
72,2011 Chateau Cantenac Brown,90 
73,2011 Chateau Valandraud,92 
74,2011 Chateau Montrose La Dame de Montrose,89 
75,2011 Chateau Haut-Bages Liberal,89 
76,2011 Chateau Poujeaux,88 
77,2011 La Chapelle de La Mission Haut-Brion,89 
78,2011 Chateau Lanessan,85 
79,2011 Duluc de Branaire-Ducru,86 
80,2011 Chateau d'Aiguilhe,88 
81,2011 Chateau Simard,87 
82,2011 Chateau de Pressac,89 
83,2011 Chateau le Puy Cuvee Barthelemy,92 
84,2011 Chateau Rollan de By,88 
85,2011 Chateau d'Agassac,87 
86,2011 Chateau Suduiraut Lions de Suduiraut,90 
87,2011 Chateau La Tour Du Haut Moulin,84 
88,2011 Chateau Barreyre,90 
89,2011 Chateau Bertrand Braneyre Vieilles Vignes,0
90,2011 Chateau Cantinot,87 
91,2011 Chateau Cantinot Les Tours de Cantinot,88 
92,2012 Chateau Haut-Brion,95 
93,2012 Chateau Calon-Segur,92 
94,2012 Chateau Branaire-Ducru,90 
95,2012 Chateau Giscours,90 
96,2012 Chateau Grand-Puy-Lacoste,91 
97,2012 Chateau Latour 'Les Forts de Latour',91 
98,2012 Chateau Cantemerle,88 
99,2012 Chateau Trotanoy,93 
100,2012 Chateau Phelan Segur,90 
101,2012 Chateau Haut-Batailley,90 
102,2012 Domaine de Chevalier Blanc,93 
103,2012 Chateau Ducru-Beaucaillou 'La Croix de Beaucaillou',90 
104,2012 Chateau Potensac,89 
105,2012 Chateau Les Ormes-de-Pez,89 
106,2012 Le Carillon de l'Angelus,89 
107,2012 Chateau Lafleur 'Les Pensees de Lafleur',89 
108,2012 Chateau La Tour de By,86 
109,2012 Chateau Malartic Lagraviere Blanc,91 
110,2012 Chateau de Lamarque,87 
111,2012 Chateau Fourcas-Hosten,86 
112,2012 Chateau Cote de Baleau,87 
113,2012 Chateau Canon 'Croix Canon - Clos Canon',89 
114,2012 L'Heritage de Chasse-Spleen,86 
115,2012 Moulins de Citran,0
116,2012 Chateau Luchey-Halde,87 
117,2012 Chateau Hourbanon,86 
118,2012 Chateau Cantinot 'Orbite',90 
119,2013 Chateau Latour,93 
120,2013 Domaine de Chevalier Blanc,93 
121,2013 Chateau La Gravette de Certan,87 
122,2013 Chateau Malartic Lagraviere Blanc,91 
123,2013 Les Cinq Pattes Rouge,0
124,2013 Les Cinq Pattes Blanc,0
125,2014 Chateau Margaux,95 
126,2014 Chateau Latour,96 
127,2014 Chateau Montrose,95 
128,2014 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 
129,2014 Chateau La Mission Haut-Brion,94 
130,2014 Chateau Figeac,94 
131,2014 Chateau Pape Clement,93 
132,2014 Chateau Canon,92 
133,2014 Chateau Branaire-Ducru,91 
134,2014 Chateau Giscours,92 
135,2014 Domaine de Chevalier,93 
136,2014 Chateau La Conseillante,93 
137,2014 Baron Philippe de Rothschild Chateau d'Armailhac,91 
138,2014 Chateau Latour 'Les Forts de Latour',92 
139,2014 Chateau Cantemerle,89 
140,2014 Chateau Clinet,91 
141,2014 Chateau Haut-Bailly,94 
142,2014 Chateau Clerc-Milon,92 
143,2014 Chateau d'Issan,92 
144,2014 Chateau Gloria,91 
145,2014 Chateau Phelan Segur,91 
146,2014 Chateau Les Carmes Haut-Brion,92 
147,2014 Chateau Chasse-Spleen,88 
148,2014 Chateau Cantenac Brown,91 
