,Wines,Points
149,2014 Chateau Leoville-Las Cases 'Clos du Marquis',91 
150,2014 Chateau Latour Le Pauillac de Latour,89 
151,2014 Clos Fourtet,93 
152,2014 Chateau Haut-Batailley,91 
153,2014 Chateau Montrose La Dame de Montrose,89 
154,2014 Chateau Grand-Puy Ducasse,91 
155,2014 Chateau Potensac,89 
156,2014 Chateau Latour-Martillac,90 
157,2014 Chateau d'Angludet,89 
158,2014 Chateau Siran,89 
159,2014 Chateau Belgrave,89 
160,2014 Chateau Carbonnieux,90 
161,2014 Chateau Carbonnieux Blanc,90 
162,2014 Chateau Barde-Haut,90 
163,2014 Chateau Cantemerle 'Les Allees de Cantemerle',88 
164,2014 Chateau Malescasse,88 
165,2014 Guinaudeau 'G' Acte,90 
166,2014 Chateau Malmaison,84 
167,2014 Chateau Gazin Rocquencourt,89 
168,2014 Annonce de Belair-Monange,89 
169,2014 Chateau Haut-Beychevelle Gloria,0
170,2014 Chateau Lafaurie-Peyraguey 'La Chapelle de Lafaurie',91 
171,2014 Chateau Fougas Maldoror,89 
172,2014 Chateau Livran,87 
173,2014 Chateau Bellevue Favereau,0
174,2014 Chartreuse de Coutet,90 
175,2015 Chateau Mouton Rothschild,96 
176,2015 Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 
177,2015 Chateau Montrose,94 
178,2015 Chateau Palmer,96 
179,2015 Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 
180,2015 Chateau La Mission Haut-Brion,96 
181,2015 Chateau Angelus,96 
182,2015 Chateau Leoville Barton,94 
183,2015 Chateau Talbot,91 
184,2015 Chateau Pape Clement,93 
185,2015 Chateau Branaire-Ducru,92 
186,2015 Chateau Giscours,93 
187,2015 Chateau Latour 'Les Forts de Latour',93 
188,2015 Chateau Cantemerle,90 
189,2015 Chateau Haut-Bailly,96 
190,2015 Chateau d'Issan,93 
191,2015 Chateau Sociando-Mallet,90 
192,2015 Chateau Lafon-Rochet,92 
193,2015 Chateau Cantenac Brown,92 
194,2015 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,92 
195,2015 Chateau Langoa-Barton,92 
196,2015 Chateau Latour Le Pauillac de Latour,90 
197,2015 Chateau Belair-Monange,94 
198,2015 Chateau Saint-Pierre,93 
199,2015 Chateau Haut-Batailley,91 
200,2015 Chateau du Tertre,92 
201,2015 Chateau Haut-Bages Liberal,89 
202,2015 Chateau Guiraud,94 
203,2015 Chateau Laroque,90 
204,2015 Chateau Poujeaux,90 
205,2015 Chateau Ducru-Beaucaillou 'La Croix de Beaucaillou',92 
206,2015 Echo de Lynch Bages Chateau Haut-Bages Averous,89 
207,2015 Chateau Latour-Martillac,91 
208,2015 Chateau Smith Haut Lafitte 'Le Petit Smith Haut Lafitte',90 
209,2015 Chateau Marquis d'Alesme Becker,92 
210,2015 Chateau de Camensac,88 
211,2015 Chateau Lilian Ladouys,89 
212,2015 Duluc de Branaire-Ducru,87 
213,2015 Chateau Gruaud-Larose 'Sarget de Gruaud-Larose',88 
214,2015 Chateau Citran,87 
215,2015 Chateau Petit Village,92 
216,2015 Chateau Lagrange,90 
217,2015 Vignobles Andre Lurton Chateau La Louviere,90 
218,2015 Chateau La Tour Figeac,90 
219,2015 Chateau Grand Corbin-Despagne,91 
220,2015 Chateau La Grave a Pomerol Trigant de Boisset,91 
221,2015 Chateau Maucaillou,88 
222,2015 Chateau de la Dauphine,90 
223,2015 Chateau Brown,90 
224,2015 Chateau Croix de Labrie,92 
225,2016 Chateau Mouton Rothschild,98 
226,2016 Chateau Margaux,97 
227,2016 Chateau Haut-Brion,97 
228,2016 Chateau d'Yquem,96 
229,2016 Chateau Lynch-Bages,95 
230,2016 Chateau Cheval Blanc,97 
231,2016 Chateau Pichon Longueville Comtesse de Lalande,97 
232,2016 Chateau Cos d'Estournel,96 
233,2016 Chateau Leoville-Las Cases 'Grand Vin de Leoville',97 
234,2016 Chateau Palmer,97 
235,2016 Chateau Ducru-Beaucaillou,96 
236,2016 Chateau Leoville Poyferre,95 
237,2016 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 
238,2016 Chateau La Mission Haut-Brion,96 
239,2016 Chateau Angelus,97 
240,2016 Chateau Talbot,93 
241,2016 Chateau Pape Clement,94 
242,2016 Chateau Canon,96 
243,2016 Chateau Gruaud-Larose,93 
244,2016 Chateau Branaire-Ducru,93 
245,2016 Chateau Rauzan-Segla,94 
246,2016 Chateau Giscours,93 
247,2016 Chateau Beychevelle,93 
248,2016 Chateau Grand-Puy-Lacoste,94 
249,2016 Chateau Duhart-Milon,93 
250,2016 Chateau La Fleur-Petrus,95 
251,2016 Domaine de Chevalier,95 
252,2016 Baron Philippe de Rothschild Chateau d'Armailhac,92 
253,2016 Chateau Latour 'Les Forts de Latour',94 
254,2016 Chateau Cantemerle,91 
255,2016 Chateau Clinet,94 
256,2016 Chateau Haut-Bailly,96 
257,2016 Chateau Rieussec,93 
258,2016 Chateau d'Issan,93 
259,2016 Chateau Batailley Grand Cru,92 
260,2016 Chateau Sociando-Mallet,92 
261,2016 Chateau Gloria,92 
262,2016 Chateau Phelan Segur,93 
263,2016 Chateau Gazin Pomerol,93 
264,2016 Chateau Canon la Gaffeliere,94 
265,2016 Chateau La Lagune,92 
266,2016 Chateau Les Carmes Haut-Brion,95 
267,2016 Chateau Lafon-Rochet,93 
268,2016 Chateau Chasse-Spleen,90 
269,2016 Chateau Cantenac Brown,93 
270,2016 Chateau d'Yquem 'Y' Ygrec,92 
271,2016 Chateau Leoville-Las Cases 'Clos du Marquis',93 
272,2016 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,93 
273,2016 Chateau Langoa-Barton,93 
274,2016 Chateau Kirwan,92 
275,2017 Chateau Mouton Rothschild,95 
276,2017 Petrus,96 
277,2017 Chateau Haut-Brion,95 
278,2017 Chateau Lynch-Bages,93 
279,2017 Chateau Cheval Blanc,95 
280,2017 Chateau Pichon Longueville Comtesse de Lalande,95 
281,2017 Chateau Leoville-Las Cases 'Grand Vin de Leoville',95 
282,2017 Chateau Montrose,94 
283,2017 Chateau Palmer,95 
284,2017 Chateau Ducru-Beaucaillou,95 
285,2017 Chateau Leoville Poyferre,94 
286,2017 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 
287,2017 Chateau La Mission Haut-Brion,95 
288,2017 Chateau Leoville Barton,94 
289,2017 Chateau Figeac,95 
290,2017 Chateau Talbot,91 
291,2017 Chateau Calon-Segur,94 
292,2017 Chateau Lafleur,97 
293,2017 Chateau Ausone,95 
294,2017 Vieux Chateau Certan,96 
295,2017 Chateau Canon,94 
296,2017 Chateau Gruaud-Larose,92 
297,2017 Chateau Rauzan-Segla,93 
298,2017 Chateau Giscours,92 
299,2017 Chateau Beychevelle,93 
300,2017 Chateau Grand-Puy-Lacoste,92 
301,2017 Chateau Duhart-Milon,91 
302,2017 Chateau Troplong Mondot,93 
303,2017 Chateau La Fleur-Petrus,94 
304,2017 Domaine de Chevalier,93 
305,2017 Chateau La Conseillante,94 
306,2017 Baron Philippe de Rothschild Chateau d'Armailhac,91 
307,2017 Chateau Brane-Cantenac,92 
308,2017 Chateau Clinet,92 
309,2017 Chateau Haut-Bailly,94 
310,2017 Chateau Trotanoy,95 
311,2017 Chateau Clerc-Milon,92 
312,2017 Chateau d'Issan,91 
313,2017 Chateau Sociando-Mallet,90 
314,2017 Chateau Gloria,90 
315,2017 Chateau Phelan Segur,91 
316,2017 Chateau Gazin Pomerol,91 
317,2017 Chateau Canon la Gaffeliere,93 
318,2017 Chateau Les Carmes Haut-Brion,94 
319,2017 Chateau Lafon-Rochet,91 
320,2017 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',91 
321,2017 Chateau Chasse-Spleen,88 
322,2017 Chateau Leoville-Las Cases 'Clos du Marquis',92 
323,2017 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,91 
324,2017 Chateau Latour Le Pauillac de Latour,90 
