Wines,Points,Year
Chateau Beychevelle,94 ,2018 
Chateau Grand-Puy-Lacoste,93 ,2018 
Chateau Lafite Rothschild 'Carruades de Lafite',93 ,2018 
Chateau Duhart-Milon,93 ,2018 
Chateau Troplong Mondot,94 ,2018 
Le Pin,96 ,2018 
Chateau La Fleur-Petrus,94 ,2018 
Domaine de Chevalier,94 ,2018 
Chateau La Conseillante,95 ,2018 
Chateau Lagrange,93 ,2018 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2018 
Chateau Brane-Cantenac,94 ,2018 
Chateau Cantemerle,90 ,2018 
Chateau Clinet,94 ,2018 
Chateau Haut-Bailly,95 ,2018 
Chateau Mouton Rothschild,98 ,2019 
Chateau Lafite Rothschild,97 ,2019 
Petrus,97 ,2019 
Chateau Margaux,98 ,2019 
Chateau Haut-Brion,97 ,2019 
Chateau d'Yquem,96 ,2019 
Chateau Pontet-Canet,96 ,2019 
Chateau Lynch-Bages,95 ,2019 
Chateau Cheval Blanc,98 ,2019 
Chateau Pichon Longueville Comtesse de Lalande,97 ,2019 
Chateau Cos d'Estournel,97 ,2019 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',97 ,2019 
Chateau Montrose,96 ,2019 
Chateau Palmer,97 ,2019 
Chateau Ducru-Beaucaillou,97 ,2019 
Chateau Leoville Poyferre,95 ,2019 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,2019 
Chateau La Mission Haut-Brion,97 ,2019 
Chateau Angelus,96 ,2019 
Chateau Leoville Barton,95 ,2019 
Chateau Figeac,98 ,2019 
Chateau Pavie,96 ,2019 
Chateau Talbot,93 ,2019 
Chateau Smith Haut Lafitte,95 ,2019 
Chateau Calon-Segur,96 ,2019 
Chateau Lafleur,98 ,2019 
Chateau Lascombes,92 ,2019 
Chateau Pape Clement,94 ,2019 
Chateau Ausone,97 ,2019 
Vieux Chateau Certan,97 ,2019 
Chateau Canon,97 ,2019 
Chateau Gruaud-Larose,94 ,2019 
Chateau Branaire-Ducru,93 ,2019 
Chateau Rauzan-Segla,95 ,2019 
Chateau Giscours,94 ,2019 
Chateau Beychevelle,93 ,2019 
Chateau Grand-Puy-Lacoste,94 ,2019 
Chateau Lafite Rothschild 'Carruades de Lafite',92 ,2019 
Chateau Duhart-Milon,92 ,2019 
Chateau Troplong Mondot,95 ,2019 
Le Pin,97 ,2019 
Chateau La Fleur-Petrus,95 ,2019 
Domaine de Chevalier,95 ,2019 
Chateau La Conseillante,97 ,2019 
Chateau Lagrange,93 ,2019 
Baron Philippe de Rothschild Chateau d'Armailhac,93 ,2019 
Chateau Brane-Cantenac,95 ,2019 
Chateau Cantemerle,90 ,2019 
Chateau Clinet,95 ,2019 
Chateau Haut-Bailly,95 ,2019 
Chateau Mouton Rothschild,97 ,2020 
Chateau Lafite Rothschild,97 ,2020 
Petrus,98 ,2020 
Chateau Margaux,97 ,2020 
Chateau Haut-Brion,96 ,2020 
Chateau Pontet-Canet,95 ,2020 
Chateau Lynch-Bages,95 ,2020 
Chateau Cheval Blanc,97 ,2020 
Chateau Pichon Longueville Comtesse de Lalande,96 ,2020 
Chateau Cos d'Estournel,96 ,2020 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 ,2020 
Chateau Montrose,95 ,2020 
Chateau Palmer,96 ,2020 
Chateau Ducru-Beaucaillou,97 ,2020 
Chateau Leoville Poyferre,94 ,2020 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,2020 
Chateau La Mission Haut-Brion,96 ,2020 
Chateau Angelus,97 ,2020 
Chateau Leoville Barton,94 ,2020 
Chateau Figeac,96 ,2020 
Chateau Pavie,97 ,2020 
Chateau Talbot,92 ,2020 
Chateau Smith Haut Lafitte,96 ,2020 
Chateau Calon-Segur,95 ,2020 
Chateau Lafleur,98 ,2020 
Chateau Lascombes,92 ,2020 
Chateau Pape Clement,94 ,2020 
Chateau Ausone,97 ,2020 
Vieux Chateau Certan,98 ,2020 
Chateau Canon,96 ,2020 
Chateau Gruaud-Larose,94 ,2020 
Chateau Branaire-Ducru,93 ,2020 
Chateau Rauzan-Segla,94 ,2020 
Chateau Giscours,93 ,2020 
Chateau Beychevelle,93 ,2020 
Chateau Grand-Puy-Lacoste,94 ,2020 
Chateau Lafite Rothschild 'Carruades de Lafite',93 ,2020 
Chateau Duhart-Milon,93 ,2020 
Chateau Troplong Mondot,94 ,2020 
Chateau La Fleur-Petrus,95 ,2020 
Domaine de Chevalier,94 ,2020 
Chateau La Conseillante,97 ,2020 
Chateau Lagrange,92 ,2020 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2020 
Chateau Brane-Cantenac,94 ,2020 
Chateau Cantemerle,90 ,2020 
Chateau Clinet,94 ,2020 
Chateau Haut-Bailly,95 ,2020 
Chateau Trotanoy,96 ,2020 
Pavillon Rouge du Chateau Margaux,93 ,2020 
Chateau Mouton Rothschild,95 ,2021 
Chateau Lafite Rothschild,95 ,2021 
Chateau Margaux,95 ,2021 
Chateau Haut-Brion,96 ,2021 
Chateau Pontet-Canet,93 ,2021 
Chateau Lynch-Bages,94 ,2021 
Chateau Cheval Blanc,96 ,2021 
Chateau Pichon Longueville Comtesse de Lalande,94 ,2021 
Chateau Cos d'Estournel,95 ,2021 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',94 ,2021 
Chateau Montrose,94 ,2021 
Chateau Palmer,94 ,2021 
Chateau Ducru-Beaucaillou,94 ,2021 
Chateau Leoville Poyferre,93 ,2021 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,2021 
Chateau La Mission Haut-Brion,94 ,2021 
Chateau Angelus,94 ,2021 
Chateau Leoville Barton,93 ,2021 
Chateau Figeac,95 ,2021 
Chateau Pavie,92 ,2021 
Chateau Talbot,90 ,2021 
Chateau Smith Haut Lafitte,94 ,2021 
Chateau Calon-Segur,94 ,2021 
Chateau Lafleur,95 ,2021 
Chateau Lascombes,89 ,2021 
Chateau Pape Clement,91 ,2021 
Chateau Ausone,96 ,2021 
Vieux Chateau Certan,95 ,2021 
Chateau Canon,94 ,2021 
Chateau Gruaud-Larose,93 ,2021 
Chateau Branaire-Ducru,91 ,2021 
Chateau Rauzan-Segla,93 ,2021 
Chateau Giscours,90 ,2021 
Chateau Beychevelle,92 ,2021 
Chateau Grand-Puy-Lacoste,92 ,2021 
Chateau Lafite Rothschild 'Carruades de Lafite',90 ,2021 
Chateau Duhart-Milon,90 ,2021 
Chateau Troplong Mondot,91 ,2021 
Chateau La Fleur-Petrus,93 ,2021 
Domaine de Chevalier,93 ,2021 
Chateau La Conseillante,95 ,2021 
Chateau Lagrange,91 ,2021 
Baron Philippe de Rothschild Chateau d'Armailhac,90 ,2021 
Chateau Brane-Cantenac,93 ,2021 
Chateau Cantemerle,88 ,2021 
Chateau Clinet,92 ,2021 
Chateau Haut-Bailly,94 ,2021 
Chateau Trotanoy,94 ,2021 
Pavillon Rouge du Chateau Margaux,91 ,2021 
Chateau Clerc-Milon,92 ,2021 
